2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR801AQB/	ENCSR801AQB	lilli	lilli	FactorBook:ENCSR801AQB
/experiments/ENCSR393AKW/	ENCSR393AKW	Myb	Myb	FactorBook:ENCSR393AKW
/experiments/ENCSR797YWF/	ENCSR797YWF	E(spl)m7-HLH	E(spl)m7-HLH	FactorBook:ENCSR797YWF
/experiments/ENCSR005MLL/	ENCSR005MLL	Pdp1	Pdp1	FactorBook:ENCSR005MLL
/experiments/ENCSR358XYO/	ENCSR358XYO	Hr96	Hr96	FactorBook:ENCSR358XYO
/experiments/ENCSR110QRS/	ENCSR110QRS	Dip3	Dlip3	FactorBook:ENCSR110QRS
/experiments/ENCSR952TDU/	ENCSR952TDU	en	en	FactorBook:ENCSR952TDU
/experiments/ENCSR416MJQ/	ENCSR416MJQ	da	da	FactorBook:ENCSR416MJQ
/experiments/ENCSR259WOE/	ENCSR259WOE	zfh2	zfh2	FactorBook:ENCSR259WOE
/experiments/ENCSR808XNJ/	ENCSR808XNJ	p53	p53	FactorBook:ENCSR808XNJ
/experiments/ENCSR629WQT/	ENCSR629WQT	Trl	Trl	FactorBook:ENCSR629WQT
